NAME	earlytrophozoite	latering	latetrophozoite	earlyschizont	earlyring	lateschizont	gametocyte(developing)	gametocyte(female)	gametocyte(male)
PF3D7_1129300	1	1	1	1069.63384	1	682.8285412	1	1	123.8186077
PF3D7_1129400	232.8371282	160.2141993	97.72231455	1	1	1	150.6489848	1	85.5485437
PF3D7_1129500	249.9415195	1	338.6811306	92.67524838	1	1	180.3767026	308.4561615	1
PF3D7_1129600	1	1	1	1	1	69.9917115	106.7359789	1577.317117	1
PF3D7_1129900	103.4468329	1	1	1	1	1	1	125.7899574	122.05223
PF3D7_1130600	181.3339063	93.90739944	1	1	1	1	169.3336347	1	49.25516806
PF3D7_1130800	1	1	1	1	1	1	1	1	211.935886
PF3D7_1131000	141.5148168	1	1	1	1	1	173.9703914	1	1
PF3D7_1131400	104.8671773	1	54.02272746	1	1	1	188.4946165	219.8387747	1291.229307
PF3D7_1131500	1	1	1	1	1	1	1	446.3232255	1
PF3D7_1131600	1	1	1	1	1	1	195.5336745	1	1082.265844
PF3D7_1131700	1	1	1	1	1	1	1	106.9535118	1
PF3D7_1131800	247.0978491	1	326.6582364	141.610361	832.5141167	361.0097657	197.087492	294.1426291	110.1325496
PF3D7_1131900	1	1	1	1	1	1	1	1	141.6094059
PF3D7_1132100	1	1	1	1	1	1	1	1	192.2609173
PF3D7_1132200	693.9458301	457.2978048	205.6311948	1	1	1	452.5941866	175.2588396	287.5545848
PF3D7_1132800	1	1	52.2904359	104.0524186	1	326.6087866	146.7236397	1	1
PF3D7_1132900	199.0576389	1	81.77100501	1	1	1	131.9507514	1	1
PF3D7_1133300	1	1	124.4087802	795.7850037	1	341.1878059	1	1	1
PF3D7_1133400	1	1	58.53567842	1	2144.530177	1204.0945	1	1	1
PF3D7_1133600	1	198.8037836	1	1	1	1	136.6296762	84.13948077	1
PF3D7_1134000	1244.903959	325.5767177	309.1106371	1	1	1	701.2011889	153.1034551	228.0696134
PF3D7_1134100	146.63669	1	402.3620217	228.402583	1	1	94.69783586	1	1
PF3D7_1134600	1	1	106.0544035	1	1	1	628.0488497	323.9615242	147.8601117
PF3D7_1134700	273.8374548	682.9698664	124.3767699	1	267.8522647	1	268.831622	87.2700597	111.6409963
PF3D7_1134900	1	1	1	67.11218736	1	1	1	1	320.6574536
PF3D7_1135100	1	121.4778737	1	71.10128099	1	187.8112778	1	129.1397409	1
PF3D7_1135400	460.3767685	163.5230679	464.0526748	129.4510932	1	1	151.6690368	1	1
PF3D7_1135500	1	1	60.39610238	1	1	1	95.18098423	1	288.8871414
PF3D7_1135600	95.18884933	1	128.2789872	1	1	1	336.9510289	78.88177821	2053.163521
PF3D7_1135700	90.25965662	1	1	1	1	1	116.5673358	1	1
PF3D7_1135800	88.47120739	158.1437553	1	1	1	1	109.6604645	1	84.32860598
PF3D7_1135900	88.19910815	1	188.7857918	309.8355044	1	147.970606	81.10717929	1	1
PF3D7_1136000	215.8030316	1	962.1524607	720.5566747	1	1	264.7480143	117.1035923	2309.208145
PF3D7_1136100	1	1	1	1	1	1	1	178.6536571	1
PF3D7_1136200	1	1	1	524.0961497	1	637.1282474	1	1	1
PF3D7_1136800	114.0975315	184.5414549	157.4926923	116.3066464	1	1	99.6332691	1	1
PF3D7_1136900	1	1	1	1	876.6107331	935.4577406	1	202.5758539	122.9609951
PF3D7_1137200	1	1	1	319.2095495	1	636.0801409	120.1332328	351.0775919	97.28365454
PF3D7_1137400	98.9725389	1	1	1	1	1	86.00786512	1	135.0048708
PF3D7_1137600	1	1	1	1	1	1	1	1	646.7543057
PF3D7_1137700	1	1	1	1	1	1	1	1	840.4695272
PF3D7_1137800	1	1	1	1	101.0247391	1	1	1	1
PF3D7_1137900	1	1	1	1	1	1	1	1	429.3547607
PF3D7_1138000	1	1	445.05743	1957.59321	1	786.2503213	174.9101285	370.6641363	207.1214005
PF3D7_1138100	1	1	1	1	102.8716228	1	1	1	1
PF3D7_1138400	145.1395057	1	689.2999633	1368.396854	1	313.5697136	307.8842185	115.406384	393.755041
PF3D7_1138700	248.559262	828.6178533	263.0722807	125.455705	2215.896753	580.0959189	221.6581505	216.5700348	266.8257721
PF3D7_1139100	202.3390288	663.463432	149.4959022	76.19713411	202.989719	1	221.5202105	1	1
PF3D7_1139200	1	1	1	1	1	1	67.31369738	1	1
PF3D7_1139600	1	1	1	1	1	1	1	91.90803605	700.9246293
PF3D7_1139700	79.66234605	1	124.3104474	1	758.9695401	1	1	1	1
PF3D7_1140000	1	1	1	187.8914103	1	1	1	1	1
PF3D7_1140300	1	1	1	1	1	1	157.1430648	146.2586741	181.5129884
PF3D7_1140400	1	1	1	260.8360422	1	324.5525339	1	1	1
PF3D7_1140500	1	1	1	107.7140088	1	1	181.5068654	311.9231911	812.8718999
PF3D7_1140600	1	1	1	486.8339269	1	386.1860804	1	852.7186261	281.0214608
