NAME	earlytrophozoite	latering	latetrophozoite	earlyschizont	earlyring	lateschizont	gametocyte(developing)	gametocyte(female)	gametocyte(male)
PF3D7.0630400	1	1	61.2773173831359	272.471752578219	1	77.6606126676784	1	250.691964299565	174.054083252067
PF3D7.0630500	161.522425588908	141.407952484555	1	1	1	1	97.9762115449055	1	1
PF3D7.0630800	1	1	1	1	1	1	1	164.755321604393	1216.05935000758
PF3D7.0630900	455.597862104387	592.721276585363	63.023336665254	1	206.412115397683	1	305.73072297397	1	88.2887687071514
PF3D7.0631000	1	1	1	69.8484664777299	1	1	1	84.6356460273884	1
PF3D7.0701900	108.928862184049	1271.95356560028	77.196682561093	1	1918.12612205558	44.3479407599944	100.040656837962	1	1
PF3D7.0702000	253.981488879128	1897.54589160488	1	170.868903695233	1356.61322962238	121.025645703657	1	1	1
PF3D7.0702200	1	85.0607891491741	1	1	430.988451497811	1	1	1	1
PF3D7.0702300	1	564.801397652021	1	1	253.192615439133	1	1	1	1
PF3D7.0702400	547.335930976019	989.637392537509	233.377408248833	77.5558648478903	188.530812331834	1	209.044017500268	1	1
PF3D7.0702500	331.086038074421	363.648382801012	86.2701517218564	1	1	1	1	1	1
PF3D7.0703600	1	1	244.16089810304	739.028749918347	1	585.560570398839	124.258128432695	104.791011501094	221.482481066179
PF3D7.0703700	186.077761925945	239.399346804619	70.3208547501633	1	129.755620988834	1	1	1	1
PF3D7.0703800	1	1	1	1	1	1	1	1	764.075087251594
PF3D7.0704100	141.077817584973	1	876.694712025579	2638.67491170767	1	1396.55906231344	495.492712780685	2277.53464634091	439.007262875959
PF3D7.0704200	143.000082952151	117.047316035727	89.6368248076742	1	1	1	169.53032273152	1	1
PF3D7.0704300	314.521593408266	1	1039.50650013137	1529.20325334956	1	420.484929000721	329.377708132422	118.521978909542	64.1021991678883
PF3D7.0704400	1	1	82.0553147945576	113.271537849284	1	101.578787771029	1	115.241211980234	1
PF3D7.0704500	1	1	256.791784040328	1641.77042893692	1	133.577099166322	139.840060864946	146.09911630236	182.482253285621
PF3D7.0704800	161.953785866877	1	129.550499604772	159.753062854945	157.122621531914	555.020069959283	97.0263083315254	116.735410040014	82.1237645356825
PF3D7.0705100	1	1	197.809707841928	730.418419301572	1	108.955525639282	1	249.459371020047	445.964313206809
PF3D7.0705200	1	1	1	1	1	1	117.162295649433	1	109.729646669364
PF3D7.0705300	194.136799577701	1	243.177265527188	436.447539626683	1	90.0379035513218	1	172.587251740462	597.128854901508
PF3D7.0705600	163.908934827868	1	1	1	1	1	1	1	1
PF3D7.0705800	1	1	1	1	1	1	1	472.215329539832	1
PF3D7.0706100	326.584164622822	1	653.963152177661	500.802711150681	1	423.574155434379	200.789884991149	76.9112826324979	1
PF3D7.0706200	1	1	1	1	1	1	93.3296706003865	1	1
PF3D7.0706300	1	1	1	1	1	1259.44870909979	1	1	1
PF3D7.0706700	1	1	1	1	1	1	1	1	584.460087132174
PF3D7.0707300	1	1	280.319508157157	10873.9426632377	80.025797512833	16285.6117986501	122.893076815799	87.0258919465975	202.018473803926
PF3D7.0707400	283.542072065469	1	117.963757324036	1	1	1	176.471889389892	52.4091592589528	1
PF3D7.0707500	242.562101398121	994.112654469736	150.0147302394	86.5066043750573	2952.10276514159	164.399330043258	137.044899794144	1	115.665255433042
PF3D7.0707800	229.330231902902	1	503.957611665009	218.739084039803	128.387362572286	1	359.53619191269	1	111.11093443908
PF3D7.0707900	335.032438523228	532.675404956272	221.830834385335	1	283.025759093299	1	394.231138022431	206.386484093572	52.3186510199459
PF3D7.0708200	1	1	1	1	1	1	84.3224953636508	1	317.347212832641
PF3D7.0708600	1	1	1	1	1	1	1	811.457626632579	58.6996406174776
PF3D7.0709000	150.103161830822	248.36995208519	1	1	1	1	1	1	1
PF3D7.0709600	184.436468331584	197.473803560778	110.60044799126	1	1	1	109.932688047787	1	1
PF3D7.0709700	1	1	117.587211088001	172.300750708548	1	1	1	466.822658047967	1
PF3D7.0709800	1	1	1	92.8654545801321	1	1	1	1	1
PF3D7.0710000	265.081434653065	1	836.481758794012	727.597503150536	1	1	352.529825786253	221.550076107121	1106.65384140698
PF3D7.0710100	138.554258252894	318.09551921773	239.894274679299	110.440206114081	1	1	1	124.543277566982	1
PF3D7.0710500	93.2006609498195	1	1	1	1	1	1	103.538694010963	66.353145426058
PF3D7.0710700	259.739719327434	655.260474265802	128.103407092315	1	129.323764094204	1	184.748339704692	258.778101830385	77.6362773454299
PF3D7.0710900	114.561182782124	1	62.9633948534464	1	1	1	151.03133033958	1	1
PF3D7.0711100	1	278.570130923281	1	1	231.970234538016	1	68.4932469141934	1	1
PF3D7.0711200	95.0712013869721	1	72.3967560006031	102.953848982764	105.220958517084	1	170.960888647635	1	213.845574814761
PF3D7.0711300	101.786187975696	1	1	1	1	1	1	1	1
