genesymbols	earlytrophozoite	latering	latetrophozoite	earlyschizont	earlyring	lateschizont	gametocyte(developing)	gametocyte(female)	gametocyte(male)
PF3D7.0104400	5811.10697194472	1	7936.39054295353	7626.35302790102	983.054465212222	4788.80170666074	10681.2675558628	18948.4127823247	8239.86554671618
PF3D7.0104500	18074.9713940642	9506.60116234884	5317.23282393263	1	1264.6138456945	1	11228.6774993416	1435.22651502778	2788.97538413732
PF3D7.0104600	4829.60918319106	1954.99255018413	7831.91690419251	3898.82714984366	1	1	9274.23191120092	2516.64399122369	5871.35569764336
PF3D7.0104700	1	1	1	1	1	1	1	1	1
PF3D7.0104800	2404.53689959707	1	4964.39194220323	4143.28028753248	2799.90230220506	11978.6656240315	1	1	1
PF3D7.0105100	1	1	1	1	1	1	1	1	1
PF3D7.0105200	12550.4058269623	1928.3018129152	6782.98534096324	7453.57930062405	1	8045.62583585725	14550.4838827371	5991.35739646936	7313.54766953079
PF3D7.0105300	1	1	3071.67499900481	24126.0093983522	1	34418.1551166395	2284.98878885254	1862.6191822086	2620.60640587544
PF3D7.0105400.1	1	1	1	1	1	1	1	1	1
PF3D7.0105400.2	1	1	1	1	1	1	1	1	1
PF3D7.0105500	2928.77196080628	1	2828.56343495308	1	1	1	2555.89607322545	3787.50543254795	1
PF3D7.0105600	7788.56952917783	4534.57162780056	7144.44523540756	5948.46859832279	1	6519.90579497942	11098.7433839172	6011.57436589775	9359.52912014441
PF3D7.0105700	15024.8884940781	2552.47499589932	29784.9555205581	58882.8278899623	1	29208.0314018335	44952.5486988992	52314.1509467095	96766.3747867186
PF3D7.0105800	4687.02721665559	1	11597.5292545025	27450.827443581	1	19900.3111325424	6933.59197359843	7892.99673083787	5872.83348494108
PF3D7.0105900	10473.5864999752	1	15857.1793169398	20817.7792979766	1	13170.9687371606	16112.9138241915	21204.7235819172	4228.54142805917
PF3D7.0106000	2493.89609109298	1	7261.20964273267	31300.3059038916	1	32045.0851819765	3827.84230709194	6286.2406823862	1
PF3D7.0106100	8451.2762523739	2798.1191143266	9709.10142344703	6073.53033351754	1	7156.22642002242	9919.4039206168	5631.77625089382	7354.85204470996
PF3D7.0106200	1	1	7034.22944139781	20621.4685277651	1	4447.62793510303	1	4306.22927651411	1
PF3D7.0106300	15383.8282569999	12672.4591675605	30796.0758265429	54779.226074699	3735.38275462732	15189.9054942389	18543.7652845229	6748.95522696289	13511.0192596226
PF3D7.0106400	12972.7742121469	13753.7362211171	3869.6758508675	2756.73512833422	1923.69789604216	1	16550.0689210661	11561.0735305185	6331.33814685355
PF3D7.0106500	2337.76749478584	1	6385.94622681269	7830.37905852608	1	1	5084.20462506754	3927.29708897475	13929.1123654637
PF3D7.0106600	1	1	1	1	1	6434.16303419215	1	1	1
PF3D7.0106700	15586.8455219342	14457.1728059005	11440.6902674829	9461.76831424502	3832.74632685461	22354.206262871	17283.3887405088	9863.9965891959	7846.603074311
PF3D7.0106800	4761.10577205543	1	11101.3980563574	14589.1747102617	1	1	3614.72692866643	8238.50747302905	2048.34641712189
PF3D7.0106900	6790.8255468769	1	21197.2680603428	20559.2903632906	1	1	14745.909629934	8047.44687429357	9015.68408059915
PF3D7.0107100	5052.54559591224	1	3633.12895791129	1	1	1	5649.45089771544	2789.74591466044	6819.57500195202
PF3D7.0107200	1527.28121109653	1	1	1	1	1	1892.64537365941	1	1
PF3D7.0107300	1	1	1	1	1	1	1	4010.25913506704	1739.85411002932
PF3D7.0107400	8969.28709461923	1	17185.8058515017	10227.9049499751	1	1	18864.6280262741	18433.4557426516	13979.0872932875
PF3D7.0107500	24087.9317323851	34720.3350117294	23299.7260718893	15866.5292067557	95519.734207427	21186.0301448152	15870.074227959	4981.12416576135	18122.7336928362
PF3D7.0107600	1	1868.95864921071	3118.4572673584	1	2485.24509319341	1	6674.84426937049	14958.9852691142	26177.9368542324
PF3D7.0107700	3085.30743549843	1	3580.67682069061	1	1	1	6941.24595188795	14631.5202886668	8956.6397051648
PF3D7.0107800	11069.9686325759	1835.79053165775	18947.987508597	8415.79764254092	1	1	10503.7294283242	3585.99263532992	5292.39949636792
PF3D7.0107900	4998.68439452134	1	4661.84471748922	1	1	1	8650.34584317922	9303.23567045893	2421.37178312628
PF3D7.0108000	4364.21354273674	1	7653.96476879328	8792.86148266989	1	1	4707.80168964064	2061.87923940741	1
PF3D7.0108100	3933.8853696979	1	8745.59331049568	7692.78666871812	1	1	7389.11942999664	25173.6191865834	2487.56791371118
PF3D7.0108300	40615.6117819013	46314.2715744064	44589.5028553854	37349.5986960234	23553.9185096502	83340.9544812544	34908.1939399052	13931.3543245881	34240.0769555278
PF3D7.0108400.1	1484.90363756094	1477.75894373267	1531.73126441258	1	814.259421752972	1	3015.75680795639	2296.74154055169	1
PF3D7.0108400.2	1	1	1	1	1	1	1	1	1
PF3D7.0108500	23212.4045343032	107482.761270433	18599.9417148073	27259.9728415467	82898.168431082	41385.1252062598	26718.862259418	9160.4587929081	12934.1389347319
PF3D7.0108600	4250.02697410312	1	6513.69078312863	3089.84289249629	1	1	4525.40063796255	11554.9097163753	2343.20778868788
PF3D7.0108700	15925.6814406215	10405.8597204839	25983.4064062524	24047.6722317102	2642.03416211101	9369.96779961556	24884.0101259092	11735.974491763	12408.9065406746
PF3D7.0108800	6721.85897360698	1	10981.5865592027	8894.25726959257	1	5261.33810229583	7546.97842528081	4959.43288460062	6291.77942065923
PF3D7.0109000	1	1	1	1	30040.0228405114	40842.8472663346	1819.69854767856	13596.2624364486	12732.3434047874
PF3D7.0109100	1	1	1	1	2696.18217491117	6641.15777271773	1	43277.902458394	1612.68344399563
PF3D7.0109200	6152.77984450774	1	5796.07161780305	2632.66217825231	1	1	4298.74345528445	1634.7790493335	3108.13440737757
PF3D7.0109300	1913.42114567677	1	2426.17075247061	1894.77258912062	1	1	10238.1756430965	10794.734043888	4293.77521727331
PF3D7.0109400	5217.89936487927	1	1903.79833505866	1	1	1	21193.0706460781	61709.8577093621	60478.6367620733
PF3D7.0109500	2557.81988340606	1	2543.95305939856	1	791.015710357281	1	2141.76349627834	12606.5262455238	1291.94180604953
PF3D7.0109600	2779.03445885099	1	1	1	1	1	7284.22619238461	5619.22875323652	2961.29121537706
PF3D7.0109700	12882.3052153632	25891.0344288871	8463.05029892471	4995.96043823031	4755.36240577898	5202.85576208803	15645.0361599761	17937.883570308	4748.48675594526
PF3D7.0109800	11909.0061114083	9804.77605964698	10986.2332010113	4464.17043911421	2250.95484246596	3007.93132698712	11802.9265472587	5275.85333253497	6337.59563203097
PF3D7.0109850	2868.00897588701	1	19965.7183721613	28120.5168227425	1	1	3713.7682064222	2882.96876143285	4202.5477934179
PF3D7.0109950	1651.89949557873	1	1580.33240947296	1	1	1	4857.0206754262	2251.44148746422	1904.97441538989
PF3D7.0110000	1	1	1934.82969005027	1	1	1	12070.8735687401	185953.509598746	16267.6122233115
PF3D7.0110100	3395.94168603236	1	4430.39319465372	1	1	1	5609.16601397949	4566.9479276273	3741.90041079954
PF3D7.0110200	2360.15632723894	1	4028.02289901822	2239.78342384467	1	1	3870.41658332899	4611.30407577784	2804.12966006132
PF3D7.0110400	8824.39950700154	3669.78807264337	9242.40276571075	4793.71053698692	1020.2233565304	1	10587.3251847733	16025.2051279828	5527.49566687442
PF3D7.0110500	17256.9398114202	4348.32104375127	19511.5309443946	8832.43626534843	5766.58502129473	6061.81628193113	27883.6787794487	12689.6036646282	27093.8993778829
PF3D7.0110600	19459.1223220647	22432.340641493	29976.7465776273	23249.8148185206	31816.3478572734	23514.3216567302	30894.5214773946	26936.4623013996	14857.2314750767
PF3D7.0110700	20630.711403095	2819.67103288792	11976.6147459209	2726.73064828089	1426.39605329075	3392.09067165823	15116.2929556583	4026.54472281483	58979.4921553491
PF3D7.0110800	6085.29692113317	5253.8368078825	2939.20104746941	1	5886.11128407295	7955.58734550739	12552.3268711261	5923.62522811727	9684.92559182145
PF3D7.0110900	4069.63580659433	2198.56686296831	1	1	1	1	2864.10687202425	1	1
PF3D7.0111000	2655.39864170918	1	8157.64357997988	21656.7240013306	1	12877.6148088626	10756.1017865085	8032.03657064495	63779.6096714391
PF3D7.0111200	1814.14838104312	1	3835.76112750114	2140.93993390661	1	1	1998.22051225947	1	1
PF3D7.0111300	8059.25623760251	1	18644.1692024011	15474.0126954148	1	1	9528.47723046322	9028.88425882288	26501.6457709385
PF3D7.0111400	9266.6340033447	1	21281.0258244731	11399.3695194076	1	1	10393.7116918368	9312.97904221509	7303.17964313345
PF3D7.0111500	10557.1443327326	1	10313.8974242045	21579.6599382701	1	45765.3960005858	6804.95018428282	1969.46431660889	5684.74076293476
PF3D7.0111600	1	1	1641.94802770778	1	1	1	2622.03885414855	8034.5853081008	4226.75331418797
PF3D7.0111700	2030.05114701719	1	1993.34154064984	1	1	1	3280.74975197317	1	1
PF3D7.0111800	8301.57706101823	1699.88738296036	6839.97057940614	2195.32633319164	1	1	10535.5436767349	3242.29433528878	3086.67707939043
PF3D7.0111900	1353.61388031798	1	2493.89603829396	3786.74597840826	1	1	1916.41765965562	1	1521.26593798078
PF3D7.0112000	5414.67069797785	2549.6721042824	5983.9406595363	3336.67210753532	1	1	6191.060726182	1	3510.83146651395
PF3D7.0112100	1	1	1	1	1	1	1	1	1
PF3D7.0112200	35340.5854781522	3956.67668118943	39068.4267916788	8306.76418784925	1	1	4079.96603839481	1	1
PF3D7.0112800	1	1	1	1	1	1	1	1	1
PF3D7.0112900	1	1	1	1	2705.32161908337	1	1	1	1
PF3D7.0113000	155489.245351379	145150.581155197	25653.5517252707	12597.6646356506	10626.0501233141	18862.1254009714	23425.6981049282	3884.47806438977	7239.15382954742
PF3D7.0113100	1	1	1	1	1	1	6386.2841535159	1	4772.0982407662
PF3D7.0113200	18117.4299993122	2703.67740350882	18205.2304127235	16985.3734723343	1	6028.63014289651	5349.49189716754	1596.96323063954	1447.36507063297
PF3D7.0113300	2469.6642371665	10475.2940467889	1	1	2413.66215865601	1	3806.17804506532	1	1
PF3D7.0113400	1	1	1	1	1	1	10885.3523767831	1	8251.06603666803
PF3D7.0113700	2271.08921249137	4006.53988435306	3136.05207818173	2636.005517085	1740.56575999445	1	1912.81348191392	1	1
PF3D7.0113800	1	3347.2113710175	5434.51010326551	19048.9115136896	1	1	1	1	1
PF3D7.0113900	1	1	1	1	1	1	1	1	1
PF3D7.0114000	1	1	6060.34161947839	9341.27857950129	1	1	16270.0166564576	24505.6640574637	55417.2117993056
PF3D7.0114100	1	1	1	1	1	1	1	1	1
PF3D7.0114200	1	1	1	1	1	1	1	1	1
PF3D7.0114500	4628.61465075941	1	1	1	1	1	1	1	1
PF3D7.0114800	1	1	1	1	1	1	1	1	1
PF3D7.0115000	1	1	1	1	1	1	1	1	3220.78726694934
PF3D7.0115100	1	1	1	1	1	1	1	1	3054.26445691587
PF3D7.0115200	1	1	1	1	1	1	1	1	1
PF3D7.0115300	1	1	1	1	1	1	1	1	1
PF3D7.0115400	1	1	1	1	1	1	1	1	1
PF3D7.0115600	1	1	1	1	1	1	1	1	1
PF3D7.0115700	1	1	1	1	1	1	1	1	1
PF3D7.0200100	1	1	1	1	1	1	1	1	1
PF3D7.0200200	1	1	1	1	1	1	1	1	1
PF3D7.0200300	1	1	1	1	1	1	1	1	1
PF3D7.0200400	1	1	1	1	1	1	1	1	1
PF3D7.0200500	1	1	1	1	1	1	1	1	1
