genesymbols	earlytrophozoite	latering	latetrophozoite	earlyschizont	earlyring	lateschizont	gametocyte(developing)	gametocyte(female)	gametocyte(male)
PF3D7.0511500	4623.43129371834	8611.39095307635	4743.93885622693	3697.2826289012	4512.11951314345	2498.72410119819	4556.97502091539	1163.34882110325	2571.83344784223
PF3D7.0511600	1	1	1	588.417049312754	1	692.601413499861	1	1	1
PF3D7.0511700	1	1	1	1	1	1	1	1	1
PF3D7.0511800	673.136701043732	433.964717734873	532.613163816328	453.019534885527	1	1	398.472465154932	585.938140849595	85.3547528576196
PF3D7.0511900	95.2597391501162	1	1	1	1	1	168.653270668615	1	1
PF3D7.0512000	184.520305522853	1	165.503734973816	1	1	1	173.856006654252	227.803705789894	190.051783873312
PF3D7.0512100	176.736482441547	1	211.264599044047	107.29131916062	1	1	130.672188697537	324.994490031154	1
PF3D7.0512200	72.7075438494243	1	1	1	1	1	1	122.127843312802	1
PF3D7.0512300	123.623391391089	1	102.519320580577	1	1	1	109.069314938427	1	1
PF3D7.0512400	1	1	1	1	1	1	1	1	1
PF3D7.0512500	201.139120496267	1	144.671593390499	85.0492673702145	1	1	168.642394865294	128.738412779976	75.7922415334651
PF3D7.0512600	213.939609636743	148.837688448512	227.820477904312	185.57796508145	1	71.8366740684035	159.028611690183	194.361858900193	56.2960171733408
PF3D7.0512700	372.645807462841	173.492722823387	80.2644409961457	1	1	1	217.296871738502	1	1
PF3D7.0512800	133.728619243721	1	54.215820105823	1	1	1	260.802280034982	318.722663930723	166.070734250966
PF3D7.0512900	161.983275977224	1	257.958572915828	74.8010276217563	1	1	102.001441861403	73.9292547992116	1
PF3D7.0513000	1	1	44.8912909132449	1	1	1	1	796.224904369843	1
PF3D7.0513100	1	1	85.1300492086327	202.871161800343	1	83.0792910772592	1	322.256254097007	1
PF3D7.0513200	685.309872214902	703.162497306173	529.197648793712	462.289198580114	215.097065550797	241.139485591953	607.208581162292	225.022825826309	598.717736497641
PF3D7.0513300	548.937302352093	85.5080995772882	311.842269918477	68.3663587055321	1	1	189.967730978306	62.4642902060047	1
PF3D7.0513400	1	1	1	1	1	1	1	1	1
PF3D7.0513500	1	1	1	1	1	1	1	1	1
PF3D7.0513600	704.969325168619	1	579.681204380293	299.081279556931	1	1	892.990753633438	753.624664495473	494.42770390152
PF3D7.0513700	1	1	1	1	1	1	166.278269176652	560.496571267914	63.1829174561716
PF3D7.0513800	100.989369798577	1	187.492220720837	1	1	1	116.696498273811	249.114699963869	1
PF3D7.0513900	1	1	1	1	1	1	92.4386043392777	1	1
PF3D7.0514000	1	1	1	1	1	1	1	365.588798858018	107.727121062712
PF3D7.0514100	213.72635752766	1	267.725768482352	319.602018349257	1	1	300.385502672029	338.44180198607	149.445803529125
PF3D7.0514200	181.757867535763	89.9821609748001	307.623994086743	238.697251500209	1	1	270.908543723963	155.30641113436	160.200099601902
PF3D7.0514300	315.225973691382	1	439.034789901398	220.222475251537	1	1	380.720692814806	249.737146429959	203.976528399341
PF3D7.0514500	1	1	1	1	1	1	1	1003.40869888099	62.2333650437347
PF3D7.0514600	1	1	1	1	1	1	1	1	1
PF3D7.0514700	1	1	1	1	1	1	1	82.1098981241114	1044.56600368394
PF3D7.0514800	160.177582884388	1	183.81314787631	71.7229123191468	1	1	83.4232154686073	79.9668056712998	73.5235061311382
PF3D7.0514900	154.60045140079	157.412444768327	224.743444986301	104.606646824907	1	1	169.959450987042	145.955226161148	110.848508316173
PF3D7.0515000	342.433905793188	242.017895992513	304.061716175742	203.607539505709	90.5812245487723	1	393.678266636167	276.663798187277	286.770969435169
PF3D7.0515100	91.2570725261873	1	246.631870067356	74.3700139990797	1	1	190.583835534141	177.538257769785	1
PF3D7.0515200	1	1	173.374527385446	83.8126419789077	1	1	1	143.634229033256	1
